date,homeTeam,awayTeam,homeScore,awayScore,elo_home_before,elo_away_before,expected_home,expected_away,result_home,result_away,G,elo_home_after,elo_away_after
30/08/2025,SP du Pays de Charleroi A,FC.V.Dender E.H.,3,1,1485.92,1441.48,0.5636,0.4364,1.0,0.0,1.625,1507.19,1420.21
31/08/2025,K.AA.Gent A,Club Brugge KV. A,1,1,1479.57,1535.89,0.4197,0.5803,0.5,0.5,1.0,1481.98,1533.48
31/08/2025,Oud-Heverlee Leuven A,R.Standard de Liège A,1,0,1449.76,1482.61,0.4529,0.5471,1.0,0.0,1.0,1466.18,1466.2
31/08/2025,R.Union St.-Gilloise A,R.SC.Anderlecht A,2,0,1564.71,1551.33,0.5192,0.4808,1.0,0.0,1.625,1588.14,1527.89
31/08/2025,K.RC.Genk A,SV.Zulte Waregem A,3,2,1486.21,1459.41,0.5385,0.4615,1.0,0.0,1.0,1500.05,1445.57
12/09/2025,R.Standard de Liège A,Yellow-Red KV.Mechelen A,1,1,1466.2,1525.55,0.4154,0.5846,0.5,0.5,1.0,1468.74,1523.01
13/09/2025,SV.Zulte Waregem A,Oud-Heverlee Leuven A,2,0,1445.57,1466.18,0.4704,0.5296,1.0,0.0,1.625,1471.39,1440.36
13/09/2025,FC.V.Dender E.H.,R.Union St.-Gilloise A,0,1,1420.21,1588.14,0.2755,0.7245,0.0,1.0,1.0,1411.94,1596.41
13/09/2025,RAAL La Louviere A,Club Brugge KV. A,1,0,1456.48,1533.48,0.391,0.609,1.0,0.0,1.0,1474.75,1515.21
14/09/2025,R.Antwerp F.C. A,K.AA.Gent A,1,2,1505.62,1481.98,0.534,0.466,0.0,1.0,1.0,1489.6,1498.0
14/09/2025,Cercle Brugge K.SV. A,SP du Pays de Charleroi A,2,3,1514.35,1507.19,0.5103,0.4897,0.0,1.0,1.0,1499.04,1522.5
14/09/2025,R.SC.Anderlecht A,K.RC.Genk A,1,1,1527.89,1500.05,0.54,0.46,0.5,0.5,1.0,1526.69,1501.25
14/09/2025,K.St.-Truidense VV. A,K.VC.Westerlo A,0,3,1574.28,1486.83,0.6233,0.3767,0.0,1.0,1.75,1541.56,1519.55
17/09/2025,K.RC.Genk A,SP du Pays de Charleroi A,0,1,1501.25,1522.5,0.4695,0.5305,0.0,1.0,1.0,1487.17,1536.59
19/09/2025,K.AA.Gent A,FC.V.Dender E.H.,3,0,1498.0,1411.94,0.6214,0.3786,1.0,0.0,1.75,1517.88,1392.06
20/09/2025,Oud-Heverlee Leuven A,RAAL La Louviere A,1,2,1440.36,1474.75,0.4507,0.5493,0.0,1.0,1.0,1426.84,1488.27
20/09/2025,SP du Pays de Charleroi A,SV.Zulte Waregem A,1,2,1536.59,1471.39,0.5927,0.4073,0.0,1.0,1.0,1518.8,1489.17
20/09/2025,R.SC.Anderlecht A,R.Antwerp F.C. A,0,0,1526.69,1489.6,0.5532,0.4468,0.5,0.5,1.0,1525.1,1491.19
